movie_id,title,tags,poster_url,language
62201,Shahenshah,"inspector srivastav is frame by a wili and cun gangster, j.k., and unabl to prove hi innocence, hang himself, leav behind hi wife, and son, vijay. year later, vijay ha grown up and ha join the polic forc as an inspector. unlik hi dad, he is corrupt and doe accept bribe to turn a nelson' eye to crime. the citi polic are assign the task of apprehend a custom man call ""shahenshah"", who oper at night and targets, tri and kill gangster in a ""judg and execution ""style. no one know the real ident of shahenshah, as he is fear by the polic department, and respect by the poor and middle-class. action amitabhbachchan meenakshisheshadri arunairani tinnuanand",https://image.tmdb.org/t/p/w500/2ZUpj73MzEh2YwVzJNVUqBSu2LZ.jpg,hi
1196943,Chhaava,"shivaji' death spark the maratha-mugh conflict. hi son sambhaji lead resist against aurangzeb' forces. amid battl and intrigue, both side face challeng in a struggl for power. histori action drama biographi historicaldrama 17thcenturi historicalep vickykaush rashmikamandanna akshayekhanna laxmanutekar",https://image.tmdb.org/t/p/w500/ubRsrzb6NRW8YhVTJ6jG1kpNvCi.jpg,hi
297222,PK,"a stranger in the citi ask question no one ha ask before. known onli by hi initials, the man' innoc question and childlik curios take him on a journey of love, laughter and let go. comedi drama sciencefict friendship societi christian hinduism islam satir alien love religion sociolog aamirkhan anushkasharma saurabhshukla rajkumarhirani",https://image.tmdb.org/t/p/w500/z2x2Y4tncefsIU7h82gmUM5vnBJ.jpg,hi
4251,Veer-Zaara,"squadron leader veer pratap singh, a pilot in the indian air force, rescu the strand zaara, a woman from pakistan, follow a bu accident, and their live are forev bound. drama romanc prison classsocieti loveofone'slif pilot music pakistan india kashmirconflict ambigu shahrukhkhan preityzinta ranimukerji yashchopra",https://image.tmdb.org/t/p/w500/j267YqLvKAHeyykTflxzpgVgviQ.jpg,hi
1389149,Accused,"when a celebr queer doctor in london is accus of sexual misconduct, her life unravels. now under a storm of suspicion and scrutiny, her marriag fractur and the truth blurs. her wife must decid whether to walk away, or fight for the woman the world is turn against. thriller mysteri drama konkonasensharma pratibharanta adityananda anubhutikashyap",https://image.tmdb.org/t/p/w500/e0YNWPVJBs9wUkcB6a1kCMF4LO7.jpg,hi
1171094,Ek Din,"dino is in love with hi colleagu meera but lack the courag to express hi feelings. he final get hi chanc dure the compani trip. he make a wish to be with meera for just one day, and hi wish come true. romanc drama junaidkhan saipallavi kunalkapoor sunilpandey",https://image.tmdb.org/t/p/w500/jpKXZyWh6WN55UJ3rqkwbzWeD5Q.jpg,hi
1112426,Stree 2,"follow the event of 'stree', the town of chanderi is be haunt again. thi time, women are mysteri abduct by a terrifi headless entity. onc again, it' up to vicki and friend to save their town and love ones. horror comedi suspens maddockhorrorcomedyuniverse(mhcu) rajkummarrao shraddhakapoor aparshaktikhurana amarkaushik",https://image.tmdb.org/t/p/w500/iwEJp4WBM8b3AjCeNcgvv86FEFr.jpg,hi
1163258,12th Fail,"base on the true stori of ip offic manoj kumar sharma, 12th fail shed limelight on fearlessli embrac the idea of restart the academ journey despit the setback and challeng and reclaim one' destini at a place where million of student attempt the world' toughest competit exam: upsc. drama awestruck vikrantmassey medhashankr anantjoshi vidhuvinodchopra",https://image.tmdb.org/t/p/w500/eebUPRI4Z5e1Z7Hev4JZAwMIFkX.jpg,hi
1081422,Kunwari Dulhan,kunwari dulhan is a hindi thriller star prem leela and reena. thriller drama kaduvakulamantoni premleela reena,https://image.tmdb.org/t/p/w500/uYNadPUxOtyaMetqz0zhOtueTz1.jpg,hi
370665,Dilwale,raj is a mafia member. one day he meet a girl (meera) while chase by hi rival gang and fall in love with her. later he find out that thi girl is the daughter of the leader of hi rival gang. yet their love stori continu until he wa shot by hi girlfriend upon a deep misunderstanding. after that incid these two lover live separ until their sibl fallen in love. with thi new love stori their path intertwin again. crime action comedi mafia shahrukhkhan kajol varundhawan rohitshetti,https://image.tmdb.org/t/p/w500/pYgPu6hhOr61knwbestTx4vSdMb.jpg,hi
864692,Pathaan,"a soldier caught by enemi and presum dead come back to complet hi mission, accompani by old companion and foes. action adventur thriller spi fakedeath spythril shahrukhkhan deepikapadukon johnabraham siddharthanand",https://image.tmdb.org/t/p/w500/arf00BkwvXo0CFKbaD9OpqdE4Nu.jpg,hi
814215,Sam Bahadur,"base on the life of sam manekshaw, who wa the chief of the armi staff of the indian armi dure the indo-pakistani war of 1971, and the first indian armi offic to be promot to the rank of field marshal. drama histori war 1970 basedontruestori historicaldrama indiapakistanwar vickykaush sanyamalhotra fatimasanashaikh meghnagulzar",https://image.tmdb.org/t/p/w500/nFYf3g3CObjx9ri3PMWkK1lWFhr.jpg,hi
1407523,Tu Meri Main Tera Main Tera Tu Meri,"when a carefre nri wed planner and a headstrong novelist collid dure a wild summer in croatia, spark fli in way neither expected. what begin as play clash soon transform into someth deeper – onli to be test when love, family, and tradit pull them in opposit directions. romanc comedi kartikaaryan ananyapanday neenagupta sameervidwan",https://image.tmdb.org/t/p/w500/uLO7ByOKZbRmA4r9ONEHWHZ6HIX.jpg,hi
1059007,Agra,the stori of a famili and an explor of space in an increasingli crowd world. it follow the quest for a sexual odyssey of an individual. drama sexual urbanlif sexualrepress horni interpersonalrelationship indianfamili personalspac mohitagarw priyankabos rahulroy kanubehl,https://image.tmdb.org/t/p/w500/biX8D3kSh4HuZzf1r0ynRgaEJte.jpg,hi
1195430,Deva,"dev ambre, a ruthless cop, lose hi memori in an accid just after he ha finish solv a murder case and now ha to reinvestig it while keep hi memori loss a secret from everyon except dcp farhan khan. action thriller mysteri crime remak basedonmovi shahidkapoor poojahegd pavailgulati rosshanandrrew",https://image.tmdb.org/t/p/w500/qxtXzAlEPxmjHILU8k8wduvBSdo.jpg,hi
585268,War,"khalid, entrust with the task of elimin former soldier turn rogu kabir, engag in an epic battl with hi mentor who taught him everything. action thriller adventur friendship chase gun itali portug spi traitor twomanarmi karat love hrithikroshan tigershroff vaanikapoor siddharthanand",https://image.tmdb.org/t/p/w500/yUtaHkL2SDIAZhRApZAyQrAXygn.jpg,hi
1227128,Raid 2,"set seven year after the event of the first film, it follow the return of ir offic amay patnaik, who is attempt to take down a seemingli benevol politician. crime drama thriller sequel politicalcorrupt ajaydevgn riteishdeshmukh vaanikapoor rajkumargupta",https://image.tmdb.org/t/p/w500/562SAxZP1sLuYqDDTuODu3hdGyx.jpg,hi
